frame,timestamp_sec,valid_ratio,depth_mean_mm,depth_std_mm,depth_min_mm,depth_max_mm,depth_p25_mm,depth_p75_mm
327,21.9334,0.0347,2582.9,1322.7,515,4892,1481.2,3605.0
328,22.0001,0.0348,2583.9,1338.3,515,4892,1307.0,3844.0
329,22.0667,0.0345,2594.3,1330.0,515,4892,1539.0,3844.0
330,22.1334,0.0341,2594.8,1331.0,515,4892,1539.0,3844.0
331,22.2001,0.0338,2610.3,1334.4,515,4892,1540.0,3844.0
332,22.2667,0.0329,2600.4,1332.5,515,4892,1540.0,3843.8
333,22.3334,0.033,2609.0,1340.9,515,4892,1539.0,3844.0
334,22.4,0.0328,2584.0,1339.9,515,4892,1302.0,3844.0
335,22.4667,0.0328,2608.8,1336.7,515,4892,1540.0,3844.0
336,22.5334,0.0328,2632.4,1330.3,515,4892,1540.0,3844.0
337,22.6001,0.0326,2591.2,1338.1,515,4892,1307.0,3844.0
338,22.6667,0.0325,2608.5,1323.2,515,4892,1540.0,3844.0
339,22.7334,0.0323,2606.2,1336.8,515,4892,1540.0,3844.0
340,22.8001,0.0325,2602.0,1342.9,515,4892,1540.0,3844.0
341,22.8667,0.0325,2601.3,1344.4,515,4892,1308.0,3844.0
342,22.9334,0.0326,2598.7,1336.0,515,4892,1308.0,3844.0
343,23.0001,0.0331,2624.8,1343.6,515,4892,1540.0,3846.0
344,23.0667,0.0327,2585.2,1335.7,515,4892,1307.0,3844.0
345,23.1334,0.0319,2630.6,1346.3,515,4892,1540.0,3847.0
346,23.2001,0.0325,2594.1,1340.9,516,4892,1308.0,3844.0
347,23.2667,0.0328,2613.1,1331.3,516,4892,1540.0,3844.0
348,23.3334,0.0326,2617.0,1336.3,515,4892,1540.0,3844.0
349,23.4001,0.0329,2616.1,1335.3,515,4892,1540.0,3846.0
350,23.4667,0.0324,2611.5,1332.6,515,4892,1540.0,3844.0
351,23.5334,0.0331,2602.0,1330.9,515,4892,1540.0,3844.0
352,23.6001,0.0326,2590.8,1338.3,515,4900,1302.0,3844.0
353,23.6667,0.0323,2605.9,1348.6,515,4900,1308.0,3845.0
354,23.7334,0.0331,2610.2,1346.8,515,4892,1540.0,3846.0
355,23.8001,0.0329,2610.9,1336.9,515,4892,1540.0,3844.0
356,23.8667,0.0336,2625.3,1334.1,515,4892,1540.0,3844.0
357,23.9334,0.0334,2605.3,1337.3,515,4892,1540.0,3844.0
358,24.0001,0.0332,2630.8,1323.9,515,4892,1540.0,3844.0
359,24.0667,0.0336,2615.0,1337.5,515,4892,1540.0,3844.0
360,24.1334,0.0329,2629.2,1332.8,515,4892,1540.0,3845.0
361,24.2,0.0335,2602.9,1325.3,515,4892,1540.0,3844.0
362,24.2667,0.0328,2628.1,1333.4,515,4892,1540.0,3846.0
363,24.3334,0.0336,2596.2,1329.7,515,4892,1540.0,3844.0
364,24.4001,0.0332,2600.5,1329.6,515,4892,1540.0,3844.0
365,24.4667,0.0331,2586.0,1333.1,515,4892,1307.0,3844.0
366,24.5334,0.0332,2606.9,1346.0,515,4892,1307.0,3845.0
367,24.6001,0.0332,2578.8,1338.6,515,4892,1301.0,3844.0
